didate,Classification,Office Sought
"Abdin, Misba",Participant,City Council District 37
"Abreu, Adolfo",Participant,City Council District 14
"Abreu, Shaun",Participant,City Council District 07
"Adam-Ovide, Marie M",Participant,City Council District 27
"Adams, Adrienne E",Participant,City Council District 28
"Adams, Elizabeth",Participant,City Council District 33
"Adams, Eric L",Participant,Undeclared
"Adler, Amber",Participant,City Council District 48
"Aguilar III, Alberto",Participant,City Council District 07
"Ahmed, Moumita",Participant,City Council District 24
"Alamarie, Kaled",Participant,City Council District 32
"Albanese, Sal F",Participant,City Council District 50
"Alexis, David T",Participant,City Council District 40
"Allen-Cummings, Marti G",Participant,City Council District 07
"Ampry-Samuel, Alicka",Undetermined,City Council District 41
"Apostol-Marius, Philippe-Edner",Participant,City Council District 49
"Aquino, Fernando A",Participant,City Council District 14
"Arden, Stanley N",Participant,City Council District 24
"Ardila, Juan D",Participant,City Council District 30
"Aronov, David",Participant,City Council District 29
"Aujla, Andy*",Participant,Undeclared
"Avella, Tony",Participant,City Council District 19
"Aviles, Adriana P",Participant,City Council District 19
"Aviles, Alexa",Participant,City Council District 38
"Ayala, Diana",Participant,City Council District 08
"Bailey, Jonathan",Participant,City Council District 26
"Barnes, Amoy K",Participant,City Council District 49
"Baryab, Fatima",Participant,City Council District 25
"Bean, Jaime-Faye",Participant,City Council District 22
"Beckford, Anthony",Participant,City Council District 45
"Beltzer, Michael",Undetermined,Undeclared
"Benjamin, Brian A",Participant,Comptroller
"Benjamin, Latoya",Participant,City Council District 31
"Boccardi, Evan F",Participant,City Council District 29
"Boghosian Murphy, Leslie",Participant,City Council District 03
"Bortoli, Tavo T",Participant,City Council District 26
"Bottcher, Erik",Participant,City Council District 03
"Boylan, Lindsey",Undetermined,Manhattan Boro President
"Brannan, Justin",Participant,City Council District 43
"Bravo, Ischia",Participant,City Council District 15
"Bravo-Lopez, Glomani",Participant,City Council District 33
"Brazela, Gardy",Participant,City Council District 46
"Brea, Lorenzo",Participant,City Council District 26
"Brook Krasny, Alec",Participant,City Council District 47
"Brooks-Powers, Selvena N",Participant,Undeclared
"Brown, Lattina",Participant,City Council District 17
"Bullaro, Leonardo",Participant,City Council District 22
"Burke, Kerryanne C",Participant,City Council District 27
"Butler, Henry L",Participant,City Council District 36
"Caban, Tiffany L",Participant,City Council District 22
"Cabrera, Fernando",Participant,Bronx Boro President
"Camarena, Rodrigo G",Participant,City Council District 38
"Cambranes, Victoria E",Participant,City Council District 33
"Caputo, Elizabeth R",Participant,Manhattan Boro President
"Caraballo, Alejandra L",Participant,City Council District 35
"Carr, David M",Participant,City Council District 50
"Cerezo Scully, Lucy",Participant,City Council District 25
"Cerrotti, Jesse A",Participant,City Council District 22
"Cespedes, Louis A§",Participant,City Council District 45
"Charlton, Monique T",Participant,City Council District 31
"Chen, Hailing",Participant,City Council District 20
"Chino, Theo B",Participant,Public Advocate
"Choe, John",Participant,City Council District 20
"Clennon, Joshua A",Participant,City Council District 09
"Coello, Leonardo",Participant,City Council District 16
"Coenen, Jr., Kevin P",Participant,Mayor
"Cohen, Daniel M",Participant,City Council District 07
"Collins, Latanya",Participant,City Council District 31
"Collymore, Renee",Undetermined,City Council District 35
"Colter, Ronald D",Participant,City Council District 36
"Conigliaro, Michael S",Participant,City Council District 29
"Cornegy, Jr., Robert E",Participant,Brooklyn Boro President
"Cortez, Cecilia C",Participant,City Council District 40
"Council, Kimberly",Participant,Brooklyn Boro President
"Cranston, Donald J",Participant,City Council District 46
"Crespo, Elisa",Participant,City Council District 15
"Cruz, Ruben",Participant,City Council District 32
"Cullen, Edward",Participant,Mayor
"Cunningham, Brian-Christopher A",Participant,City Council District 40
"De La Rosa, Carmen",Participant,City Council District 10
"De Los Santos, Manny",Participant,City Council District 10
"DeJesus, Edwin",Participant,City Council District 22
"DeLuca, Jennifer E",Participant,City Council District 39
"DeName, Michael*§",Undetermined,Mayor
"Diallo, Abdourahamane",Participant,City Council District 16
"Diallo, Ahmadou T",Participant,City Council District 16
"Diaz Jr., Ruben",Participant,Mayor
"Diaz, Sr., Ruben",Undetermined,Undeclared
"Dinowitz, Eric",Participant,City Council District 11
"Donovan, Shaun",Undetermined,Undeclared
"Dweck, Adam*",Participant,City Council District 48
"Echevarria, Ricarte",Participant,City Council District 37
"Edwards, Khari",Participant,Undeclared
"Edwards, Regina",Participant,City Council District 36
"Esrafily, Sean A",Participant,City Council District 34
"Eugene, Mathieu",Participant,Brooklyn Boro President
"Eugene, Maxi",Participant,City Council District 40
"Farias, Amanda",Participant,City Council District 18
"Feliz, Oswald",Participant,City Council District 15
"Fernandez, Angela",Participant,City Council District 10
"Fernandez, Nathalia",Participant,Bronx Boro President
"Fields, Pearlene S",Participant,Brooklyn Boro President
"Filius, Yves T",Participant,City Council District 16
"Fitzgerald, Cleopatra",Participant,Mayor
"Fitzpatrick, Phelan-Dante",Participant,City Council District 03
"Florentino, Wilfredo",Participant,City Council District 42
"Foldenauer, Aaron S",Participant,Mayor
"Forman, Julia L",Participant,City Council District 26
"Francis, Quanda S",Undetermined,Mayor
"Freeland, Billy",Participant,City Council District 05
"Fuentes-Padilla, Christopher R",Participant,City Council District 23
"Gagarin, Aleda F",Participant,City Council District 29
"Garcia, Johanna",Participant,City Council District 10
"Garcia, Kathryn A",Participant,Mayor
"Gennaro, James F",Participant,City Council District 24
"Gibson, Vanessa L",Participant,Bronx Boro President
"Gjonaj, Mark",Undetermined,City Council District 13
"Gomez, Ingrid P",Participant,City Council District 21
"Goodwin, Gwen E",Participant,Public Advocate
"Gopal, Latchmi D",Participant,City Council District 15
"Green, Gregory S",Participant,City Council District 36
"Grey, Selina",Participant,City Council District 49
"Grodenchik, Barry S",Participant,City Council District 23
"Guerrier, Garry",Participant,Mayor
"Gutierrez, Jennifer",Participant,City Council District 34
"Gutierrez, Victor H",Participant,Bronx Boro President
"Guttmann, Benjamin I",Participant,City Council District 26
"Halasa, Marni",Participant,City Council District 03
"Haller, Jessica",Participant,City Council District 11
"Hamilton-Johnson, Pamela",Participant,City Council District 12
"Handy-Hilliard, Kenya",Participant,City Council District 40
"Hanif, Shahana",Participant,City Council District 39
"Hanks, Kamillah M",Participant,City Council District 49
"Hantzopoulos, Evie",Participant,City Council District 22
"Haq, Mamnunul M",Participant,City Council District 39
"Harris, Curtis M",Participant,City Council District 35
"Herbert, Anthony L",Participant,Public Advocate
"Hill, Rene",Participant,City Council District 27
"Hines, Harriet L",Participant,City Council District 40
"Hollingsworth, Michael D",Participant,City Council District 35
"Hoylman, Brad",Participant,Manhattan Boro President
"Hu, Whitney A",Participant,City Council District 38
"Hudson, Crystal",Participant,City Council District 35
"Hunt, Nicole",Participant,City Council District 39
"Hyndman, Alicia*",Participant,Queens Boro President
"Jackson, Darlene",Participant,City Council District 18
"Jackson, Zuri S",Participant,City Council District 46
"Jain, Neeta",Participant,City Council District 24
"James, Letitia*",Undetermined,Undeclared
"Jaswal, Suraj",Participant,City Council District 25
"Jeffcoat, Marvin",Participant,City Council District 26
"Johnson, Corey D",Participant,Undeclared
"Johnson, James J",Participant,City Council District 27
"Johnson, Patrick*",Participant,City Council District 39
"Jordan, Kristin R",Participant,City Council District 09
"Joseph, Cyril F",Participant,City Council District 45
"Joseph, Franck",Participant,City Council District 31
"Joseph, Rita C",Participant,City Council District 40
"Joyner, John J",Participant,City Council District 36
"Kalan, Felicia",Participant,City Council District 22
"Kallos, Benjamin J",Participant,Manhattan Boro President
"Kanu, Al-Hassan",Participant,City Council District 27
"Kaplan, Max",Participant,Mayor
"Katz, Melinda",Undetermined,Undeclared
"Kaur, Jaslin",Participant,City Council District 23
"KC, Nabaraj",Participant,City Council District 19
"Keehan-Smith, Denise M",Participant,City Council District 26
"Kim, Heajin",Participant,City Council District 26
"Kinsey, Regina",Participant,City Council District 35
"Knox, Terrance D",Participant,City Council District 35
"Kravitz, Joshua",Participant,City Council District 05
"Krebs, Justin M",Participant,City Council District 39
"Krishnan, Shekar",Participant,City Council District 25
"Labayen, Eliseo D",Participant,City Council District 29
"LaFargue, Aleta A",Participant,City Council District 03
"Lamorte, Rebecca",Participant,City Council District 05
"Lancman, Rory I*",Undetermined,Undeclared
"Lander, Brad",Participant,Comptroller
"Lara, Eliu A",Participant,City Council District 18
"Lashley-Kabore, Marcelle",Participant,City Council District 29
"Laurel-Smith, Abbey S",Participant,Mayor
"Laymon, Jesse D",Participant,City Council District 26
"Lee, Kenneth D§",Undetermined,City Council District 40
"Lee, Linda",Participant,City Council District 23
"Lee, Richard",Participant,City Council District 19
"Levine, Mark D",Undetermined,Undeclared
"Levy, Deirdre M",Participant,City Council District 35
"Levy, Sharon",Participant,City Council District 29
"Li, Gigi",Participant,City Council District 01
"Lin, Yu",Participant,City Council District 38
"Lind, Sara K",Participant,City Council District 06
"Lizardo, Roberto E",Participant,Undeclared
"Lopez-Pierre, Thomas A*",Undetermined,Manhattan Boro President
"Lora, Mino",Participant,City Council District 11
"Louis, Farah N",Participant,City Council District 45
"Low, Jenny L",Participant,City Council District 01
"Lucas, Nikki",Participant,City Council District 42
"Lusk, Jordana T",Participant,City Council District 04
"Lynch, Stacy R",Participant,City Council District 07
"Mapp, Tamika",Participant,City Council District 08
"Maron, Maud",Participant,City Council District 01
"Marte, Christopher",Participant,City Council District 01
"Martin, Abigail J",Participant,City Council District 11
"Martinez, Nancy J",Participant,City Council District 31
"Maruf, Sultan A",Participant,City Council District 26
"Matteo, Steven",Participant,Staten Island Boro President
"McDaniels, Ruth",Participant,City Council District 09
"McGhie, Troy",Participant,City Council District 49
"McGuire, Raymond J",Undetermined,Mayor
"Mealy, Darlene",Participant,City Council District 41
"Melendez, Lena A",Participant,City Council District 07
"Melford, Brian",Undetermined,City Council District 12
"Menchaca, Carlos",Participant,Mayor
"Mendez, Paul",Participant,City Council District 43
"Morales, Dianne",Participant,Mayor
"Morgan, Vivia",Participant,City Council District 40
"Morris, Blake",Participant,City Council District 40
"Moscaritolo, Kim",Participant,City Council District 05
"Moya, Francisco P",Participant,Undeclared
"Mujumder, Mohammed N",Participant,City Council District 18
"Narcisse, Mercedes",Participant,City Council District 46
"Nath, Dilip",Participant,City Council District 24
"Newton, Judy D",Participant,City Council District 46
"Noble, Boris",Participant,City Council District 48
"Nurse, Sandy",Participant,City Council District 37
"O'Leary, Brent M",Participant,City Council District 26
"Ogunleye, Ranti",Participant,City Council District 49
"Ordonez, Maria",Participant,City Council District 07
"Ortega, Corey",Participant,City Council District 07
"Osina, Pesach",Participant,Undeclared
"Osse', Chi A",Participant,City Council District 36
"Ozeri, Bianca",Participant,City Council District 26
"Packer, Joseph",Participant,City Council District 47
"Padernacht, Daniel A",Participant,City Council District 11
"Painter, Jacqueline",Participant,City Council District 38
"Paladino, Vickie",Participant,City Council District 19
"Parker, Kevin S",Participant,Comptroller
"Patzer, Steven D",Participant,City Council District 47
"Paul, Shirley S",Participant,City Council District 46
"Pepitone, William A",Participant,Mayor
"Perez, Josue G",Participant,City Council District 10
"Perez, Manuel F",Participant,City Council District 25
"Pierre, Josue",Participant,City Council District 40
"Pirozzolo, Sam T",Participant,City Council District 50
"Potosky, Toba",Participant,City Council District 33
"Powers, Keith",Undetermined,City Council District 04
"Quart, Dan*",Undetermined,Undeclared
"Quinones, Carmen",Participant,City Council District 07
"Quiroz, Alfonso",Participant,City Council District 25
"Raymond, Edwin",Participant,City Council District 40
"Reaves, Julia Q",Participant,Mayor
"Reed, Everett R",Participant,City Council District 10
"Rein, Briget A",Participant,City Council District 39
"Remauro, Leticia M",Participant,Staten Island Boro President
"Restler, Lincoln",Participant,City Council District 33
"Reynoso, Antonio",Participant,Brooklyn Boro President
"Rias, Alexander N",Participant,City Council District 26
"Richards, Kelvin",Participant,City Council District 49
"Riley, Kevin C",Participant,City Council District 12
"Rivera, Carlina L",Participant,City Council District 02
"Rivera, Haile M",Participant,City Council District 14
"Robbins, Nicholas J",Participant,City Council District 49
"Robertson, Hector",Participant,City Council District 35
"Roloson, Nicholas",Participant,City Council District 22
"Rosen, Seth M",Participant,City Council District 06
"Rosenthal, Helen K",Participant,Comptroller
"Rosser, Mario",Participant,City Council District 09
"Rux, Shawn",Participant,City Council District 31
"Salamanca, Jr., Rafael",Undetermined,Undeclared
"Salas, Denny R",Undetermined,City Council District 01
"Sanchez, John E",Participant,City Council District 15
"Sanchez, Pierina A",Participant,City Council District 14
"Sanchez, Raymond",Participant,City Council District 07
"Saperstein, Steven",Participant,City Council District 48
"Scala, Michael G",Participant,City Council District 32
"Schneider, Douglas",Participant,City Council District 39
"Schulman, Lynn C",Participant,City Council District 29
"Schwartz, Arthur Z",Participant,City Council District 03
"Seely, Stephen Bishop",Undetermined,Mayor
"Sepulveda, Julian S",Participant,City Council District 15
"Severino, Shaeleigh M",Participant,City Council District 32
"Shafran, Austin I",Participant,City Council District 19
"Shapiro, Douglas J",Participant,City Council District 29
"Sharma, Deepti",Participant,City Council District 24
"Sherman, Stuart C",Participant,City Council District 33
"Shimamura, Tricia",Participant,City Council District 05
"Sierra, Marcos A",Participant,City Council District 11
"Sierra, Samuel",Participant,City Council District 38
"Silva, Manuel",Participant,City Council District 31
"Silver, Nayma*",Participant,City Council District 10
"Simon, Jo Anne",Participant,Brooklyn Boro President
"Simpson, Sheba T",Participant,City Council District 09
"Singh, Felicia",Participant,City Council District 32
"Smith, Uniqua S",Participant,City Council District 16
"Solano, Socrates S",Participant,Undeclared
"Solotaire, Benjamin A",Participant,City Council District 33
"Somboun, April",Participant,City Council District 33
"Sosa, Christopher A",Participant,City Council District 05
"Sterlacci, Nicholas*§",Undetermined,City Council District 46
"Stevens, Althea",Participant,City Council District 16
"Stringer, Scott M",Participant,Undeclared
"Sutton, Loree K",Participant,Mayor
"Syed, Soma",Participant,City Council District 24
"Tapia, Yudelka",Participant,City Council District 14
"Tarver, Shadoe G",Undetermined,City Council District 36
"Taylor, Joycelyn",Participant,Mayor
"Tejada, Luis M",Participant,City Council District 07
"Then, Dionel J",Participant,City Council District 11
"Tischler, Harold",Participant,City Council District 48
"Torres, Ritchie J",Undetermined,Undeclared
"Townsend, Rod",Participant,City Council District 22
"Turane, Timothy E",Participant,City Council District 27
"Uddin, Mohammed S",Participant,City Council District 24
"Ung, Sandra",Participant,City Council District 20
"Vallone, Paul A",Participant,Undeclared
"Van Bramer, James",Participant,Undeclared
"Velazquez, Marjorie",Participant,City Council District 13
"Vernikov, Inna",Participant,City Council District 48
"Wang, Neng",Undetermined,City Council District 20
"Waterman, Robert",Participant,City Council District 36
"Watkins, Kimberly R",Participant,Manhattan Boro President
"Watson, Gena M",Participant,City Council District 42
"Weiner, Zack",Participant,City Council District 06
"Weprin, David I",Participant,Comptroller
"West, Brandon",Participant,City Council District 39
"Whitehead-Miller, Lamor",Undetermined,Brooklyn Boro President
"Wiley, Maya D",Participant,Mayor
"Willabus, R. Dimple",Participant,City Council District 46
"Williams, Jumaane D",Participant,Public Advocate
"Williams, Nantasha M",Participant,City Council District 27
"Wilson, Kenichi",Participant,City Council District 32
"Winbush, Tiffany",Participant,City Council District 01
"Won, Julie",Participant,City Council District 26
"Wong, Edwin",Participant,City Council District 29
"Wonica, George S",Participant,City Council District 50
"Wufka, Talea E",Participant,City Council District 21
"Yeger, Kalman",Undetermined,Undeclared
"Young, Ebony R",Participant,City Council District 26
"Yozzo, Ralph E§",Undetermined,City Council District 36
"Zang, Donghui",Participant,City Council District 29
"Zuniga, Ceasar",Participant,City Council District 38